nohup: ignoring input
Device running: cuda
Namespace(n_neurons=320, n_layers=6, epochs=250, batchsize=512, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=False, decay_interval=15, datapath='new_gmm.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='gmm_new', vti_name='predict_new_gmm_320.vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 512
Decay Rate: 0.8
Max Epochs: 250
Number of Neurons per Layer: 320
Number of Layers (including input/output): 8
Data Path: new_gmm.vti
Output Path: ./models/
Dataset Name: gmm_new
Vti Name: predict_new_gmm_320.vti
train_gmm_new_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15
Decay: True
Extracting variables from path: new_gmm.vti

n_pts: 3125000 dim: (250, 250, 50) n_dim: 3 total_arr: 9
Total Variables: 9
Univariate: False
Coordinates Shape: (3125000, 3)
Values Shape: (3125000, 9)
0   -5992.2548828125   101.128173828125
1   -4931.54248046875   4880.267578125
2   -4931.541015625   11329.4013671875
3   0.0010000000474974513   5174.65625
4   0.0016644897405058146   3414.103271484375
5   0.0010000000474974513   5518.3505859375
Dataset Name: gmm_new
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=320, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=320, out_features=320, bias=True)
      (linear_2): Linear(in_features=320, out_features=320, bias=True)
    )
    (7): Linear(in_features=320, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()

Learning Rate: 5e-05
Max Epochs: 250
Batch Size: 512
Number of Hidden Layers: 6
Number of Neurons per Layer: 320
Decay Rate: 0.8
Rate decays every 15 epochs.

  0%|          | 0/250 [00:00<?, ?it/s]Epoch: 1/250 | Train Loss: 0.002450604224577546 | Time: 124.54s (cuda) | LR: 5e-05
  6%|▋         | 16/250 [32:02<7:50:06, 120.54s/it]Epoch: 17/250 | Train Loss: 0.0057412805035710335 | Time: 121.92s (cuda) | LR: 4e-05
  7%|▋         | 17/250 [34:04<7:49:43, 120.96s/it]Epoch: 18/250 | Train Loss: 0.00570150651037693 | Time: 121.56s (cuda) | LR: 4e-05
  7%|▋         | 18/250 [36:06<7:48:24, 121.14s/it]Epoch: 19/250 | Train Loss: 0.005704464856535196 | Time: 118.33s (cuda) | LR: 4e-05
  8%|▊         | 19/250 [38:04<7:43:08, 120.30s/it]Epoch: 20/250 | Train Loss: 0.005704591516405344 | Time: 120.91s (cuda) | LR: 4e-05
  8%|▊         | 20/250 [40:05<7:41:51, 120.48s/it]Epoch: 21/250 | Train Loss: 0.005683275870978832 | Time: 119.24s (cuda) | LR: 4e-05
  8%|▊         | 21/250 [42:04<7:38:25, 120.11s/it]Epoch: 22/250 | Train Loss: 0.005691917147487402 | Time: 120.63s (cuda) | LR: 4e-05
  9%|▉         | 22/250 [44:05<7:37:01, 120.27s/it]Epoch: 23/250 | Train Loss: 0.005698434077203274 | Time: 121.72s (cuda) | LR: 4e-05
  9%|▉         | 23/250 [46:07<7:36:40, 120.71s/it]Epoch: 24/250 | Train Loss: 0.005707856267690659 | Time: 118.58s (cuda) | LR: 4e-05
 10%|▉         | 24/250 [48:05<7:32:16, 120.07s/it]Epoch: 25/250 | Train Loss: 0.005700828041881323 | Time: 123.26s (cuda) | LR: 4e-05
 10%|█         | 25/250 [50:09<7:33:51, 121.03s/it]Epoch: 26/250 | Train Loss: 0.005707112140953541 | Time: 118.17s (cuda) | LR: 4e-05
 10%|█         | 26/250 [52:07<7:28:38, 120.17s/it]Epoch: 27/250 | Train Loss: 0.005711118225008249 | Time: 125.24s (cuda) | LR: 4e-05
 11%|█         | 27/250 [54:12<7:32:17, 121.69s/it]Epoch: 28/250 | Train Loss: 0.005713021382689476 | Time: 118.58s (cuda) | LR: 4e-05
 11%|█         | 28/250 [56:11<7:26:49, 120.76s/it]Epoch: 29/250 | Train Loss: 0.005702786147594452 | Time: 119.71s (cuda) | LR: 4e-05
 12%|█▏        | 29/250 [58:10<7:23:39, 120.45s/it]Epoch: 30/250 | Train Loss: 0.005699939094483852 | Time: 125.22s (cuda) | LR: 4e-05
 12%|█▏        | 30/250 [1:00:15<7:26:54, 121.89s/it]Epoch: 31/250 | Train Loss: 0.005701571237295866 | Time: 121.13s (cuda) | LR: 3.2000000000000005e-05
 12%|█▏        | 31/250 [1:02:17<7:24:03, 121.66s/it]Epoch: 32/250 | Train Loss: 0.005389352794736624 | Time: 127.91s (cuda) | LR: 3.2000000000000005e-05
 13%|█▎        | 32/250 [1:04:25<7:28:51, 123.54s/it]Epoch: 33/250 | Train Loss: 0.005298044998198748 | Time: 117.34s (cuda) | LR: 3.2000000000000005e-05
 13%|█▎        | 33/250 [1:06:22<7:20:04, 121.68s/it]Epoch: 34/250 | Train Loss: 0.005266518332064152 | Time: 129.97s (cuda) | LR: 3.2000000000000005e-05
 14%|█▎        | 34/250 [1:08:32<7:27:00, 124.17s/it]Epoch: 35/250 | Train Loss: 0.005287132225930691 | Time: 116.75s (cuda) | LR: 3.2000000000000005e-05
 14%|█▍        | 35/250 [1:10:29<7:16:58, 121.95s/it]Epoch: 36/250 | Train Loss: 0.0052953860722482204 | Time: 126.47s (cuda) | LR: 3.2000000000000005e-05
 14%|█▍        | 36/250 [1:12:35<7:19:47, 123.31s/it]Epoch: 37/250 | Train Loss: 0.005347904749214649 | Time: 119.11s (cuda) | LR: 3.2000000000000005e-05
 15%|█▍        | 37/250 [1:14:34<7:13:16, 122.05s/it]Epoch: 38/250 | Train Loss: 0.005325309932231903 | Time: 125.87s (cuda) | LR: 3.2000000000000005e-05
 15%|█▌        | 38/250 [1:16:40<7:15:18, 123.20s/it]Epoch: 39/250 | Train Loss: 0.0053068711422383785 | Time: 120.67s (cuda) | LR: 3.2000000000000005e-05
 16%|█▌        | 39/250 [1:18:41<7:10:35, 122.44s/it]Epoch: 40/250 | Train Loss: 0.0052853175438940525 | Time: 120.09s (cuda) | LR: 3.2000000000000005e-05
 16%|█▌        | 40/250 [1:20:41<7:06:05, 121.74s/it]Epoch: 41/250 | Train Loss: 0.005292666144669056 | Time: 123.57s (cuda) | LR: 3.2000000000000005e-05
 16%|█▋        | 41/250 [1:22:44<7:05:58, 122.29s/it]Epoch: 42/250 | Train Loss: 0.005310834385454655 | Time: 120.83s (cuda) | LR: 3.2000000000000005e-05
 17%|█▋        | 42/250 [1:24:45<7:02:25, 121.86s/it]Epoch: 43/250 | Train Loss: 0.005309614818543196 | Time: 124.98s (cuda) | LR: 3.2000000000000005e-05
 17%|█▋        | 43/250 [1:26:50<7:03:38, 122.79s/it]Epoch: 44/250 | Train Loss: 0.00530431792140007 | Time: 115.1s (cuda) | LR: 3.2000000000000005e-05
 18%|█▊        | 44/250 [1:28:45<6:53:40, 120.49s/it]Epoch: 45/250 | Train Loss: 0.005281793884932995 | Time: 127.11s (cuda) | LR: 3.2000000000000005e-05
 18%|█▊        | 45/250 [1:30:52<6:58:27, 122.48s/it]Epoch: 46/250 | Train Loss: 0.005270340014249086 | Time: 115.1s (cuda) | LR: 2.5600000000000006e-05
 18%|█▊        | 46/250 [1:32:48<6:48:54, 120.27s/it]Epoch: 47/250 | Train Loss: 0.005039863288402557 | Time: 126.78s (cuda) | LR: 2.5600000000000006e-05
 19%|█▉        | 47/250 [1:34:54<6:53:31, 122.22s/it]Epoch: 48/250 | Train Loss: 0.00497927563264966 | Time: 118.78s (cuda) | LR: 2.5600000000000006e-05
 19%|█▉        | 48/250 [1:36:53<6:48:00, 121.19s/it]Epoch: 49/250 | Train Loss: 0.004962029866874218 | Time: 126.92s (cuda) | LR: 2.5600000000000006e-05
 20%|█▉        | 49/250 [1:39:00<6:51:45, 122.91s/it]Epoch: 50/250 | Train Loss: 0.0049522980116307735 | Time: 117.55s (cuda) | LR: 2.5600000000000006e-05
 20%|██        | 50/250 [1:40:58<6:44:21, 121.31s/it]Epoch: 51/250 | Train Loss: 0.004938560072332621 | Time: 124.44s (cuda) | LR: 2.5600000000000006e-05
 20%|██        | 51/250 [1:43:02<6:45:27, 122.25s/it]Epoch: 52/250 | Train Loss: 0.0049453251995146275 | Time: 121.21s (cuda) | LR: 2.5600000000000006e-05
 21%|██        | 52/250 [1:45:03<6:42:24, 121.94s/it]Epoch: 53/250 | Train Loss: 0.004935785196721554 | Time: 124.05s (cuda) | LR: 2.5600000000000006e-05
 21%|██        | 53/250 [1:47:07<6:42:27, 122.57s/it]Epoch: 54/250 | Train Loss: 0.004928265698254108 | Time: 123.22s (cuda) | LR: 2.5600000000000006e-05
 22%|██▏       | 54/250 [1:49:11<6:41:03, 122.77s/it]Epoch: 55/250 | Train Loss: 0.0049582235515117645 | Time: 119.61s (cuda) | LR: 2.5600000000000006e-05
 22%|██▏       | 55/250 [1:51:10<6:35:55, 121.82s/it]Epoch: 56/250 | Train Loss: 0.0049296049401164055 | Time: 124.98s (cuda) | LR: 2.5600000000000006e-05
 22%|██▏       | 56/250 [1:53:15<6:36:58, 122.77s/it]Epoch: 57/250 | Train Loss: 0.004920485429465771 | Time: 116.85s (cuda) | LR: 2.5600000000000006e-05
 23%|██▎       | 57/250 [1:55:12<6:29:12, 121.00s/it]Epoch: 58/250 | Train Loss: 0.004908314906060696 | Time: 126.68s (cuda) | LR: 2.5600000000000006e-05
 23%|██▎       | 58/250 [1:57:19<6:32:39, 122.71s/it]Epoch: 59/250 | Train Loss: 0.004908847622573376 | Time: 116.21s (cuda) | LR: 2.5600000000000006e-05
 24%|██▎       | 59/250 [1:59:15<6:24:25, 120.76s/it]Epoch: 60/250 | Train Loss: 0.004890467040240765 | Time: 125.76s (cuda) | LR: 2.5600000000000006e-05
 24%|██▍       | 60/250 [2:01:21<6:27:10, 122.26s/it]Epoch: 61/250 | Train Loss: 0.004887041635811329 | Time: 117.67s (cuda) | LR: 2.0480000000000007e-05
 24%|██▍       | 61/250 [2:03:18<6:20:47, 120.89s/it]Epoch: 62/250 | Train Loss: 0.004706067033112049 | Time: 125.44s (cuda) | LR: 2.0480000000000007e-05
 25%|██▍       | 62/250 [2:05:24<6:23:03, 122.25s/it]Epoch: 63/250 | Train Loss: 0.0046213362365961075 | Time: 118.62s (cuda) | LR: 2.0480000000000007e-05
 25%|██▌       | 63/250 [2:07:22<6:17:37, 121.17s/it]Epoch: 64/250 | Train Loss: 0.004619477316737175 | Time: 121.36s (cuda) | LR: 2.0480000000000007e-05
 26%|██▌       | 64/250 [2:09:24<6:15:47, 121.22s/it]Epoch: 65/250 | Train Loss: 0.0046270727179944515 | Time: 122.07s (cuda) | LR: 2.0480000000000007e-05
 26%|██▌       | 65/250 [2:11:26<6:14:33, 121.48s/it]Epoch: 66/250 | Train Loss: 0.004614472389221191 | Time: 119.59s (cuda) | LR: 2.0480000000000007e-05
 26%|██▋       | 66/250 [2:13:26<6:10:48, 120.92s/it]Epoch: 67/250 | Train Loss: 0.004631779156625271 | Time: 120.7s (cuda) | LR: 2.0480000000000007e-05
 27%|██▋       | 67/250 [2:15:26<6:08:36, 120.85s/it]Epoch: 68/250 | Train Loss: 0.004633721895515919 | Time: 117.22s (cuda) | LR: 2.0480000000000007e-05
 27%|██▋       | 68/250 [2:17:23<6:03:17, 119.77s/it]Epoch: 69/250 | Train Loss: 0.004659353755414486 | Time: 121.65s (cuda) | LR: 2.0480000000000007e-05
 28%|██▊       | 69/250 [2:19:25<6:03:00, 120.33s/it]Epoch: 70/250 | Train Loss: 0.004630393348634243 | Time: 113.98s (cuda) | LR: 2.0480000000000007e-05
 28%|██▊       | 70/250 [2:21:19<5:55:17, 118.43s/it]Epoch: 71/250 | Train Loss: 0.004643708933144808 | Time: 124.89s (cuda) | LR: 2.0480000000000007e-05
 28%|██▊       | 71/250 [2:23:24<5:59:06, 120.37s/it]Epoch: 72/250 | Train Loss: 0.004662798251956701 | Time: 112.14s (cuda) | LR: 2.0480000000000007e-05
 29%|██▉       | 72/250 [2:25:16<5:49:47, 117.90s/it]Epoch: 73/250 | Train Loss: 0.004641564562916756 | Time: 128.53s (cuda) | LR: 2.0480000000000007e-05
 29%|██▉       | 73/250 [2:27:25<5:57:13, 121.09s/it]Epoch: 74/250 | Train Loss: 0.004638815298676491 | Time: 113.67s (cuda) | LR: 2.0480000000000007e-05
 30%|██▉       | 74/250 [2:29:18<5:48:41, 118.87s/it]Epoch: 75/250 | Train Loss: 0.004632519092410803 | Time: 127.39s (cuda) | LR: 2.0480000000000007e-05
 30%|███       | 75/250 [2:31:26<5:54:09, 121.43s/it]Epoch: 76/250 | Train Loss: 0.00464056758210063 | Time: 111.36s (cuda) | LR: 1.6384000000000008e-05
 30%|███       | 76/250 [2:33:17<5:43:23, 118.41s/it]Epoch: 77/250 | Train Loss: 0.0044866520911455154 | Time: 124.86s (cuda) | LR: 1.6384000000000008e-05
 31%|███       | 77/250 [2:35:22<5:47:00, 120.35s/it]Epoch: 78/250 | Train Loss: 0.004464257042855024 | Time: 114.05s (cuda) | LR: 1.6384000000000008e-05
 31%|███       | 78/250 [2:37:16<5:39:35, 118.46s/it]Epoch: 79/250 | Train Loss: 0.004462148994207382 | Time: 125.53s (cuda) | LR: 1.6384000000000008e-05
 32%|███▏      | 79/250 [2:39:22<5:43:39, 120.58s/it]Epoch: 80/250 | Train Loss: 0.004452990368008614 | Time: 115.42s (cuda) | LR: 1.6384000000000008e-05
 32%|███▏      | 80/250 [2:41:17<5:37:16, 119.04s/it]Epoch: 81/250 | Train Loss: 0.004451260901987553 | Time: 122.6s (cuda) | LR: 1.6384000000000008e-05
 32%|███▏      | 81/250 [2:43:20<5:38:18, 120.11s/it]Epoch: 82/250 | Train Loss: 0.004433703608810902 | Time: 119.24s (cuda) | LR: 1.6384000000000008e-05
 33%|███▎      | 82/250 [2:45:19<5:35:34, 119.85s/it]Epoch: 83/250 | Train Loss: 0.004425475839525461 | Time: 120.13s (cuda) | LR: 1.6384000000000008e-05
 33%|███▎      | 83/250 [2:47:19<5:33:49, 119.94s/it]Epoch: 84/250 | Train Loss: 0.004436253570020199 | Time: 123.88s (cuda) | LR: 1.6384000000000008e-05
 34%|███▎      | 84/250 [2:49:23<5:35:06, 121.12s/it]Epoch: 85/250 | Train Loss: 0.00439957482740283 | Time: 118.43s (cuda) | LR: 1.6384000000000008e-05
 34%|███▍      | 85/250 [2:51:21<5:30:52, 120.32s/it]Epoch: 86/250 | Train Loss: 0.004390657413750887 | Time: 128.65s (cuda) | LR: 1.6384000000000008e-05
 34%|███▍      | 86/250 [2:53:30<5:35:42, 122.82s/it]Epoch: 87/250 | Train Loss: 0.004385636653751135 | Time: 108.28s (cuda) | LR: 1.6384000000000008e-05
 35%|███▍      | 87/250 [2:55:18<5:21:48, 118.46s/it]Epoch: 88/250 | Train Loss: 0.004399279598146677 | Time: 127.08s (cuda) | LR: 1.6384000000000008e-05
 35%|███▌      | 88/250 [2:57:25<5:26:49, 121.05s/it]Epoch: 89/250 | Train Loss: 0.004394997376948595 | Time: 106.61s (cuda) | LR: 1.6384000000000008e-05
 36%|███▌      | 89/250 [2:59:12<5:13:12, 116.72s/it]Epoch: 90/250 | Train Loss: 0.004392745904624462 | Time: 125.62s (cuda) | LR: 1.6384000000000008e-05
 36%|███▌      | 90/250 [3:01:18<5:18:23, 119.40s/it]Epoch: 91/250 | Train Loss: 0.00441992050036788 | Time: 108.69s (cuda) | LR: 1.3107200000000007e-05
 36%|███▋      | 91/250 [3:03:06<5:07:53, 116.18s/it]Epoch: 92/250 | Train Loss: 0.004277191590517759 | Time: 120.95s (cuda) | LR: 1.3107200000000007e-05
 37%|███▋      | 92/250 [3:05:07<5:09:43, 117.62s/it]Epoch: 93/250 | Train Loss: 0.0042717126198112965 | Time: 111.01s (cuda) | LR: 1.3107200000000007e-05
 37%|███▋      | 93/250 [3:06:58<5:02:35, 115.64s/it]Epoch: 94/250 | Train Loss: 0.004262098576873541 | Time: 118.92s (cuda) | LR: 1.3107200000000007e-05
 38%|███▊      | 94/250 [3:08:57<5:03:13, 116.63s/it]Epoch: 95/250 | Train Loss: 0.0042434995993971825 | Time: 114.17s (cuda) | LR: 1.3107200000000007e-05
 38%|███▊      | 95/250 [3:10:51<4:59:23, 115.89s/it]Epoch: 96/250 | Train Loss: 0.004232189152389765 | Time: 116.01s (cuda) | LR: 1.3107200000000007e-05
 38%|███▊      | 96/250 [3:12:47<4:57:33, 115.93s/it]Epoch: 97/250 | Train Loss: 0.004220799542963505 | Time: 117.08s (cuda) | LR: 1.3107200000000007e-05
 39%|███▉      | 97/250 [3:14:45<4:56:30, 116.28s/it]Epoch: 98/250 | Train Loss: 0.004217902664095163 | Time: 110.32s (cuda) | LR: 1.3107200000000007e-05
 39%|███▉      | 98/250 [3:16:35<4:50:03, 114.50s/it]Epoch: 99/250 | Train Loss: 0.0042164623737335205 | Time: 119.57s (cuda) | LR: 1.3107200000000007e-05
 40%|███▉      | 99/250 [3:18:34<4:51:58, 116.02s/it]Epoch: 100/250 | Train Loss: 0.004214318934828043 | Time: 109.57s (cuda) | LR: 1.3107200000000007e-05
 40%|████      | 100/250 [3:20:24<4:45:13, 114.09s/it]Epoch: 101/250 | Train Loss: 0.004201933275908232 | Time: 123.96s (cuda) | LR: 1.3107200000000007e-05
 40%|████      | 101/250 [3:22:28<4:50:40, 117.05s/it]Epoch: 102/250 | Train Loss: 0.004216644912958145 | Time: 106.81s (cuda) | LR: 1.3107200000000007e-05
 41%|████      | 102/250 [3:24:15<4:41:09, 113.98s/it]Epoch: 103/250 | Train Loss: 0.004192606080323458 | Time: 125.82s (cuda) | LR: 1.3107200000000007e-05
 41%|████      | 103/250 [3:26:21<4:47:57, 117.54s/it]Epoch: 104/250 | Train Loss: 0.00420976709574461 | Time: 113.9s (cuda) | LR: 1.3107200000000007e-05
 42%|████▏     | 104/250 [3:28:15<4:43:21, 116.45s/it]Epoch: 105/250 | Train Loss: 0.0042159706354141235 | Time: 126.7s (cuda) | LR: 1.3107200000000007e-05
 42%|████▏     | 105/250 [3:30:21<4:48:51, 119.53s/it]Epoch: 106/250 | Train Loss: 0.004192677326500416 | Time: 107.0s (cuda) | LR: 1.0485760000000006e-05
 42%|████▏     | 106/250 [3:32:08<4:37:51, 115.77s/it]Epoch: 107/250 | Train Loss: 0.004114864394068718 | Time: 123.34s (cuda) | LR: 1.0485760000000006e-05
 43%|████▎     | 107/250 [3:34:12<4:41:20, 118.05s/it]Epoch: 108/250 | Train Loss: 0.004083746112883091 | Time: 110.0s (cuda) | LR: 1.0485760000000006e-05
 43%|████▎     | 108/250 [3:36:02<4:33:40, 115.64s/it]Epoch: 109/250 | Train Loss: 0.004070428665727377 | Time: 121.48s (cuda) | LR: 1.0485760000000006e-05
 44%|████▎     | 109/250 [3:38:03<4:35:52, 117.39s/it]Epoch: 110/250 | Train Loss: 0.004056202247738838 | Time: 112.15s (cuda) | LR: 1.0485760000000006e-05
 44%|████▍     | 110/250 [3:39:55<4:30:15, 115.82s/it]Epoch: 111/250 | Train Loss: 0.004060742910951376 | Time: 119.75s (cuda) | LR: 1.0485760000000006e-05
 44%|████▍     | 111/250 [3:41:55<4:31:03, 117.00s/it]Epoch: 112/250 | Train Loss: 0.004069743677973747 | Time: 113.7s (cuda) | LR: 1.0485760000000006e-05
 45%|████▍     | 112/250 [3:43:49<4:26:50, 116.02s/it]Epoch: 113/250 | Train Loss: 0.0040519954636693 | Time: 128.66s (cuda) | LR: 1.0485760000000006e-05
 45%|████▌     | 113/250 [3:45:57<4:33:34, 119.81s/it]Epoch: 114/250 | Train Loss: 0.004038830753415823 | Time: 124.11s (cuda) | LR: 1.0485760000000006e-05
 46%|████▌     | 114/250 [3:48:02<4:34:30, 121.10s/it]Epoch: 115/250 | Train Loss: 0.004051670897752047 | Time: 120.65s (cuda) | LR: 1.0485760000000006e-05
 46%|████▌     | 115/250 [3:50:02<4:32:11, 120.97s/it]Epoch: 116/250 | Train Loss: 0.004046401474624872 | Time: 111.27s (cuda) | LR: 1.0485760000000006e-05
 46%|████▋     | 116/250 [3:51:53<4:23:40, 118.06s/it]Epoch: 117/250 | Train Loss: 0.004054214805364609 | Time: 118.68s (cuda) | LR: 1.0485760000000006e-05
 47%|████▋     | 117/250 [3:53:52<4:22:07, 118.25s/it]Epoch: 118/250 | Train Loss: 0.0040521747432649136 | Time: 113.26s (cuda) | LR: 1.0485760000000006e-05
 47%|████▋     | 118/250 [3:55:45<4:16:52, 116.76s/it]Epoch: 119/250 | Train Loss: 0.004053583834320307 | Time: 116.83s (cuda) | LR: 1.0485760000000006e-05
 48%|████▊     | 119/250 [3:57:42<4:14:58, 116.78s/it]Epoch: 120/250 | Train Loss: 0.004047934897243977 | Time: 117.14s (cuda) | LR: 1.0485760000000006e-05
 48%|████▊     | 120/250 [3:59:39<4:13:15, 116.89s/it]Epoch: 121/250 | Train Loss: 0.0040479861199855804 | Time: 115.26s (cuda) | LR: 8.388608000000005e-06
 48%|████▊     | 121/250 [4:01:35<4:10:16, 116.41s/it]Epoch: 122/250 | Train Loss: 0.003985886462032795 | Time: 119.04s (cuda) | LR: 8.388608000000005e-06
 49%|████▉     | 122/250 [4:03:34<4:10:01, 117.20s/it]Epoch: 123/250 | Train Loss: 0.0039563109166920185 | Time: 111.0s (cuda) | LR: 8.388608000000005e-06
 49%|████▉     | 123/250 [4:05:25<4:04:08, 115.34s/it]Epoch: 124/250 | Train Loss: 0.003959799651056528 | Time: 121.52s (cuda) | LR: 8.388608000000005e-06
 50%|████▉     | 124/250 [4:07:26<4:06:06, 117.20s/it]Epoch: 125/250 | Train Loss: 0.003948299679905176 | Time: 108.12s (cuda) | LR: 8.388608000000005e-06
 50%|█████     | 125/250 [4:09:14<3:58:29, 114.48s/it]Epoch: 126/250 | Train Loss: 0.003935412038117647 | Time: 124.16s (cuda) | LR: 8.388608000000005e-06
 50%|█████     | 126/250 [4:11:19<4:02:35, 117.38s/it]Epoch: 127/250 | Train Loss: 0.003924867138266563 | Time: 118.72s (cuda) | LR: 8.388608000000005e-06
