nohup: ignoring input
Could not save font_manager cache [Errno 122] Disk quota exceeded
Device running: cuda
Namespace(n_neurons=320, n_layers=6, epochs=200, batchsize=512, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=True, decay_interval=15, datapath='new_gmm_isabel_week_6.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='3d_data', vti_name='predicted_isabel_7.vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 512
Decay Rate: 0.8
Max Epochs: 200
Number of Neurons per Layer: 320
Number of Layers (including input/output): 8
Data Path: new_gmm_isabel_week_6.vti
Output Path: ./models/
Dataset Name: 3d_data
Vti Name: predicted_isabel_7.vti
train_3d_data_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15
Decay: True
Extracting variables from path: new_gmm_isabel_week_6.vti

n_pts: 3125000 dim: (250, 250, 50) n_dim: 3 total_arr: 9
Total Variables: 9
Univariate: False
Coordinates Shape: (3125000, 3)
Values Shape: (3125000, 9)
Dataset Name: 3d_data
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=320, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=320, out_features=320, bias=True)
      (linear_2): Linear(in_features=320, out_features=320, bias=True)
    )
    (7): Linear(in_features=320, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()

Learning Rate: 5e-05
Max Epochs: 200
Batch Size: 512
Number of Hidden Layers: 6
Number of Neurons per Layer: 320
Decay Rate: 0.8
Rate decays every 15 epochs.

  0%|          | 0/200 [00:00<?, ?it/s]  0%|          | 1/200 [02:00<6:38:20, 120.10s/it]Epoch: 1/200 | Total Loss: 0.011810 | Entropy Loss: 1.070037 | Time: 120.1s | LR: 5e-05
  1%|          | 2/200 [03:56<6:29:54, 118.16s/it]Epoch: 2/200 | Total Loss: 0.012026 | Entropy Loss: 1.070040 | Time: 116.79s | LR: 4e-05
 17%|█▋        | 34/200 [1:06:53<5:27:55, 118.52s/it]Epoch: 34/200 | Total Loss: 0.011900 | Entropy Loss: 1.070034 | Time: 118.4s | LR: 6.7108864000000044e-06
 18%|█▊        | 35/200 [1:08:52<5:25:56, 118.53s/it]Epoch: 35/200 | Total Loss: 0.011899 | Entropy Loss: 1.070036 | Time: 118.53s | LR: 6.7108864000000044e-06
 18%|█▊        | 36/200 [1:10:50<5:24:15, 118.63s/it]Epoch: 36/200 | Total Loss: 0.011895 | Entropy Loss: 1.070037 | Time: 118.87s | LR: 6.7108864000000044e-06
 18%|█▊        | 37/200 [1:12:49<5:22:17, 118.64s/it]Epoch: 37/200 | Total Loss: 0.011894 | Entropy Loss: 1.070037 | Time: 118.65s | LR: 6.7108864000000044e-06
 19%|█▉        | 38/200 [1:14:47<5:19:45, 118.43s/it]Epoch: 38/200 | Total Loss: 0.011897 | Entropy Loss: 1.070037 | Time: 117.94s | LR: 5.368709120000004e-06
 20%|█▉        | 39/200 [1:16:46<5:18:16, 118.61s/it]Epoch: 39/200 | Total Loss: 0.011898 | Entropy Loss: 1.070038 | Time: 119.04s | LR: 4.294967296000004e-06
 20%|██        | 40/200 [1:18:44<5:15:55, 118.47s/it]Epoch: 40/200 | Total Loss: 0.011886 | Entropy Loss: 1.070036 | Time: 118.14s | LR: 4.294967296000004e-06
 20%|██        | 41/200 [1:20:43<5:14:14, 118.58s/it]Epoch: 41/200 | Total Loss: 0.011872 | Entropy Loss: 1.070037 | Time: 118.84s | LR: 4.294967296000004e-06
 21%|██        | 42/200 [1:22:43<5:12:59, 118.86s/it]Epoch: 42/200 | Total Loss: 0.011877 | Entropy Loss: 1.070037 | Time: 119.49s | LR: 3.4359738368000033e-06
 22%|██▏       | 43/200 [1:24:43<5:12:05, 119.27s/it]Epoch: 43/200 | Total Loss: 0.011867 | Entropy Loss: 1.070035 | Time: 120.25s | LR: 3.4359738368000033e-06
 22%|██▏       | 44/200 [1:26:40<5:08:45, 118.75s/it]Epoch: 44/200 | Total Loss: 0.011863 | Entropy Loss: 1.070039 | Time: 117.54s | LR: 3.4359738368000033e-06
 22%|██▎       | 45/200 [1:28:38<5:06:02, 118.47s/it]Epoch: 45/200 | Total Loss: 0.011860 | Entropy Loss: 1.070035 | Time: 117.79s | LR: 3.4359738368000033e-06
 23%|██▎       | 46/200 [1:30:36<5:03:19, 118.18s/it]Epoch: 46/200 | Total Loss: 0.011855 | Entropy Loss: 1.070037 | Time: 117.5s | LR: 2.7487790694400027e-06
 24%|██▎       | 47/200 [1:32:34<5:01:38, 118.29s/it]Epoch: 47/200 | Total Loss: 0.011848 | Entropy Loss: 1.070038 | Time: 118.56s | LR: 2.7487790694400027e-06
 24%|██▍       | 48/200 [1:34:33<4:59:55, 118.39s/it]Epoch: 48/200 | Total Loss: 0.011848 | Entropy Loss: 1.070037 | Time: 118.62s | LR: 2.1990232555520023e-06
 24%|██▍       | 49/200 [1:36:31<4:57:57, 118.40s/it]Epoch: 49/200 | Total Loss: 0.011839 | Entropy Loss: 1.070035 | Time: 118.41s | LR: 2.1990232555520023e-06
 25%|██▌       | 50/200 [1:38:30<4:56:03, 118.42s/it]Epoch: 50/200 | Total Loss: 0.011837 | Entropy Loss: 1.070037 | Time: 118.45s | LR: 2.1990232555520023e-06
 26%|██▌       | 51/200 [1:40:27<4:53:32, 118.20s/it]Epoch: 51/200 | Total Loss: 0.011836 | Entropy Loss: 1.070037 | Time: 117.7s | LR: 2.1990232555520023e-06
 26%|██▌       | 52/200 [1:42:25<4:51:01, 117.99s/it]Epoch: 52/200 | Total Loss: 0.011835 | Entropy Loss: 1.070039 | Time: 117.48s | LR: 2.1990232555520023e-06
 26%|██▋       | 53/200 [1:44:26<4:51:00, 118.78s/it]Epoch: 53/200 | Total Loss: 0.011829 | Entropy Loss: 1.070037 | Time: 120.63s | LR: 2.1990232555520023e-06
 27%|██▋       | 54/200 [1:46:24<4:48:36, 118.61s/it]Epoch: 54/200 | Total Loss: 0.011827 | Entropy Loss: 1.070038 | Time: 118.2s | LR: 2.1990232555520023e-06
 28%|██▊       | 55/200 [1:48:22<4:46:24, 118.51s/it]Epoch: 55/200 | Total Loss: 0.011823 | Entropy Loss: 1.070035 | Time: 118.29s | LR: 2.1990232555520023e-06
 28%|██▊       | 56/200 [1:50:22<4:45:08, 118.81s/it]Epoch: 56/200 | Total Loss: 0.011821 | Entropy Loss: 1.070036 | Time: 119.5s | LR: 2.1990232555520023e-06
 28%|██▊       | 57/200 [1:52:20<4:42:38, 118.59s/it]Epoch: 57/200 | Total Loss: 0.011819 | Entropy Loss: 1.070037 | Time: 118.08s | LR: 2.1990232555520023e-06
 29%|██▉       | 58/200 [1:54:19<4:41:04, 118.77s/it]Epoch: 58/200 | Total Loss: 0.011820 | Entropy Loss: 1.070036 | Time: 119.18s | LR: 1.7592186044416019e-06
 30%|██▉       | 59/200 [1:56:19<4:40:13, 119.24s/it]Epoch: 59/200 | Total Loss: 0.011816 | Entropy Loss: 1.070036 | Time: 120.36s | LR: 1.7592186044416019e-06
 30%|███       | 60/200 [1:58:18<4:37:46, 119.05s/it]Epoch: 60/200 | Total Loss: 0.011811 | Entropy Loss: 1.070036 | Time: 118.59s | LR: 1.7592186044416019e-06
 30%|███       | 61/200 [2:00:19<4:37:18, 119.70s/it]Epoch: 61/200 | Total Loss: 0.011811 | Entropy Loss: 1.070037 | Time: 121.23s | LR: 1.4073748835532816e-06
 31%|███       | 62/200 [2:02:19<4:35:14, 119.67s/it]Epoch: 62/200 | Total Loss: 0.011806 | Entropy Loss: 1.070038 | Time: 119.6s | LR: 1.4073748835532816e-06
 32%|███▏      | 63/200 [2:04:17<4:32:20, 119.28s/it]Epoch: 63/200 | Total Loss: 0.011805 | Entropy Loss: 1.070037 | Time: 118.35s | LR: 1.4073748835532816e-06
 32%|███▏      | 64/200 [2:06:16<4:30:10, 119.19s/it]Epoch: 64/200 | Total Loss: 0.011801 | Entropy Loss: 1.070036 | Time: 119.0s | LR: 1.4073748835532816e-06
 32%|███▎      | 65/200 [2:08:14<4:27:13, 118.77s/it]Epoch: 65/200 | Total Loss: 0.011802 | Entropy Loss: 1.070037 | Time: 117.77s | LR: 1.1258999068426254e-06
 33%|███▎      | 66/200 [2:10:12<4:24:58, 118.65s/it]Epoch: 66/200 | Total Loss: 0.011794 | Entropy Loss: 1.070038 | Time: 118.36s | LR: 1.1258999068426254e-06
 34%|███▎      | 67/200 [2:12:11<4:23:25, 118.84s/it]Epoch: 67/200 | Total Loss: 0.011791 | Entropy Loss: 1.070035 | Time: 119.29s | LR: 1.1258999068426254e-06
 34%|███▍      | 68/200 [2:14:08<4:20:08, 118.24s/it]Epoch: 68/200 | Total Loss: 0.011790 | Entropy Loss: 1.070039 | Time: 116.85s | LR: 1.1258999068426254e-06
 34%|███▍      | 69/200 [2:16:08<4:19:02, 118.65s/it]Epoch: 69/200 | Total Loss: 0.011789 | Entropy Loss: 1.070036 | Time: 119.59s | LR: 1.1258999068426254e-06
 35%|███▌      | 70/200 [2:18:06<4:16:44, 118.50s/it]Epoch: 70/200 | Total Loss: 0.011788 | Entropy Loss: 1.070035 | Time: 118.15s | LR: 1.1258999068426254e-06
 36%|███▌      | 71/200 [2:20:04<4:14:18, 118.28s/it]Epoch: 71/200 | Total Loss: 0.011791 | Entropy Loss: 1.070034 | Time: 117.77s | LR: 9.007199254741003e-07
 36%|███▌      | 72/200 [2:22:02<4:12:13, 118.23s/it]Epoch: 72/200 | Total Loss: 0.011789 | Entropy Loss: 1.070039 | Time: 118.11s | LR: 9.007199254741003e-07
 36%|███▋      | 73/200 [2:24:00<4:10:24, 118.30s/it]Epoch: 73/200 | Total Loss: 0.011784 | Entropy Loss: 1.070035 | Time: 118.46s | LR: 9.007199254741003e-07
 37%|███▋      | 74/200 [2:25:59<4:08:53, 118.52s/it]Epoch: 74/200 | Total Loss: 0.011783 | Entropy Loss: 1.070039 | Time: 119.02s | LR: 9.007199254741003e-07
 38%|███▊      | 75/200 [2:27:56<4:06:02, 118.10s/it]Epoch: 75/200 | Total Loss: 0.011784 | Entropy Loss: 1.070034 | Time: 117.13s | LR: 7.205759403792803e-07
 38%|███▊      | 76/200 [2:29:56<4:05:00, 118.55s/it]Epoch: 76/200 | Total Loss: 0.011781 | Entropy Loss: 1.070038 | Time: 119.61s | LR: 5.764607523034243e-07
 38%|███▊      | 77/200 [2:31:54<4:02:23, 118.24s/it]Epoch: 77/200 | Total Loss: 0.011779 | Entropy Loss: 1.070043 | Time: 117.52s | LR: 5.764607523034243e-07
 39%|███▉      | 78/200 [2:33:52<4:00:24, 118.23s/it]Epoch: 78/200 | Total Loss: 0.011778 | Entropy Loss: 1.070034 | Time: 118.2s | LR: 5.764607523034243e-07
 40%|███▉      | 79/200 [2:35:52<3:59:27, 118.74s/it]Epoch: 79/200 | Total Loss: 0.011776 | Entropy Loss: 1.070037 | Time: 119.92s | LR: 5.764607523034243e-07
 40%|████      | 80/200 [2:37:31<3:45:58, 112.99s/it]Epoch: 80/200 | Total Loss: 0.011777 | Entropy Loss: 1.070040 | Time: 99.58s | LR: 4.6116860184273944e-07
 40%|████      | 81/200 [2:39:28<3:46:15, 114.08s/it]Epoch: 81/200 | Total Loss: 0.011774 | Entropy Loss: 1.070032 | Time: 116.63s | LR: 4.6116860184273944e-07
 41%|████      | 82/200 [2:41:28<3:47:54, 115.89s/it]Epoch: 82/200 | Total Loss: 0.011773 | Entropy Loss: 1.070038 | Time: 120.1s | LR: 4.6116860184273944e-07
 42%|████▏     | 83/200 [2:43:27<3:47:51, 116.85s/it]Epoch: 83/200 | Total Loss: 0.011774 | Entropy Loss: 1.070034 | Time: 119.09s | LR: 3.689348814741916e-07
 42%|████▏     | 84/200 [2:45:24<3:46:05, 116.94s/it]Epoch: 84/200 | Total Loss: 0.011777 | Entropy Loss: 1.070039 | Time: 117.17s | LR: 2.9514790517935326e-07
 42%|████▎     | 85/200 [2:47:26<3:46:47, 118.32s/it]Epoch: 85/200 | Total Loss: 0.011773 | Entropy Loss: 1.070038 | Time: 121.54s | LR: 2.9514790517935326e-07
 43%|████▎     | 86/200 [2:49:26<3:45:42, 118.79s/it]Epoch: 86/200 | Total Loss: 0.011775 | Entropy Loss: 1.070038 | Time: 119.9s | LR: 2.3611832414348262e-07
 44%|████▎     | 87/200 [2:51:27<3:45:08, 119.54s/it]Epoch: 87/200 | Total Loss: 0.011771 | Entropy Loss: 1.070036 | Time: 121.28s | LR: 2.3611832414348262e-07
 44%|████▍     | 88/200 [2:53:26<3:42:46, 119.34s/it]Epoch: 88/200 | Total Loss: 0.011771 | Entropy Loss: 1.070039 | Time: 118.87s | LR: 1.8889465931478612e-07
 44%|████▍     | 89/200 [2:55:23<3:39:37, 118.71s/it]Epoch: 89/200 | Total Loss: 0.011771 | Entropy Loss: 1.070036 | Time: 117.25s | LR: 1.8889465931478612e-07
 45%|████▌     | 90/200 [2:57:21<3:37:24, 118.58s/it]Epoch: 90/200 | Total Loss: 0.011771 | Entropy Loss: 1.070038 | Time: 118.28s | LR: 1.511157274518289e-07
 46%|████▌     | 91/200 [2:59:18<3:34:32, 118.10s/it]Epoch: 91/200 | Total Loss: 0.011768 | Entropy Loss: 1.070039 | Time: 116.97s | LR: 1.208925819614631e-07
 46%|████▌     | 92/200 [3:01:16<3:32:28, 118.04s/it]Epoch: 92/200 | Total Loss: 0.011767 | Entropy Loss: 1.070035 | Time: 117.89s | LR: 1.208925819614631e-07
 46%|████▋     | 93/200 [3:03:09<3:27:27, 116.33s/it]Epoch: 93/200 | Total Loss: 0.011766 | Entropy Loss: 1.070042 | Time: 112.36s | LR: 1.208925819614631e-07
 47%|████▋     | 94/200 [3:05:05<3:25:17, 116.21s/it]Epoch: 94/200 | Total Loss: 0.011770 | Entropy Loss: 1.070034 | Time: 115.91s | LR: 9.67140655691705e-08
 48%|████▊     | 95/200 [3:07:01<3:23:43, 116.41s/it]Epoch: 95/200 | Total Loss: 0.011765 | Entropy Loss: 1.070033 | Time: 116.9s | LR: 9.67140655691705e-08
 48%|████▊     | 96/200 [3:09:02<3:23:57, 117.66s/it]Epoch: 96/200 | Total Loss: 0.011764 | Entropy Loss: 1.070037 | Time: 120.58s | LR: 9.67140655691705e-08
 48%|████▊     | 97/200 [3:11:01<3:22:25, 117.91s/it]Epoch: 97/200 | Total Loss: 0.011767 | Entropy Loss: 1.070035 | Time: 118.49s | LR: 7.73712524553364e-08
 49%|████▉     | 98/200 [3:13:03<3:22:49, 119.31s/it]Epoch: 98/200 | Total Loss: 0.011766 | Entropy Loss: 1.070041 | Time: 122.56s | LR: 7.73712524553364e-08
 50%|████▉     | 99/200 [3:15:03<3:21:19, 119.60s/it]Epoch: 99/200 | Total Loss: 0.011763 | Entropy Loss: 1.070037 | Time: 120.27s | LR: 7.73712524553364e-08
 50%|█████     | 100/200 [3:17:05<3:20:26, 120.27s/it]Epoch: 100/200 | Total Loss: 0.011768 | Entropy Loss: 1.070036 | Time: 121.81s | LR: 6.189700196426913e-08
 50%|█████     | 101/200 [3:19:06<3:18:35, 120.36s/it]Epoch: 101/200 | Total Loss: 0.011764 | Entropy Loss: 1.070040 | Time: 120.56s | LR: 6.189700196426913e-08
 51%|█████     | 102/200 [3:21:01<3:14:16, 118.94s/it]Epoch: 102/200 | Total Loss: 0.011763 | Entropy Loss: 1.070036 | Time: 115.63s | LR: 6.189700196426913e-08
 52%|█████▏    | 103/200 [3:23:00<3:12:14, 118.91s/it]Epoch: 103/200 | Total Loss: 0.011763 | Entropy Loss: 1.070045 | Time: 118.84s | LR: 6.189700196426913e-08
 52%|█████▏    | 104/200 [3:24:56<3:08:58, 118.11s/it]Epoch: 104/200 | Total Loss: 0.011763 | Entropy Loss: 1.070030 | Time: 116.23s | LR: 4.9517601571415304e-08
 52%|█████▎    | 105/200 [3:26:55<3:07:22, 118.34s/it]Epoch: 105/200 | Total Loss: 0.011759 | Entropy Loss: 1.070044 | Time: 118.88s | LR: 4.9517601571415304e-08
 53%|█████▎    | 106/200 [3:28:58<3:07:25, 119.63s/it]Epoch: 106/200 | Total Loss: 0.011761 | Entropy Loss: 1.070038 | Time: 122.64s | LR: 3.9614081257132246e-08
 54%|█████▎    | 107/200 [3:31:00<3:06:22, 120.25s/it]Epoch: 107/200 | Total Loss: 0.011760 | Entropy Loss: 1.070035 | Time: 121.68s | LR: 3.9614081257132246e-08
 54%|█████▍    | 108/200 [3:32:57<3:03:02, 119.38s/it]Epoch: 108/200 | Total Loss: 0.011758 | Entropy Loss: 1.070037 | Time: 117.35s | LR: 3.9614081257132246e-08
 55%|█████▍    | 109/200 [3:34:54<3:00:04, 118.73s/it]Epoch: 109/200 | Total Loss: 0.011758 | Entropy Loss: 1.070041 | Time: 117.2s | LR: 3.16912650057058e-08
 55%|█████▌    | 110/200 [3:36:52<2:57:51, 118.57s/it]Epoch: 110/200 | Total Loss: 0.011757 | Entropy Loss: 1.070038 | Time: 118.21s | LR: 3.16912650057058e-08
 56%|█████▌    | 111/200 [3:38:49<2:54:49, 117.86s/it]Epoch: 111/200 | Total Loss: 0.011754 | Entropy Loss: 1.070035 | Time: 116.18s | LR: 3.16912650057058e-08
 56%|█████▌    | 112/200 [3:40:43<2:51:15, 116.76s/it]Epoch: 112/200 | Total Loss: 0.011754 | Entropy Loss: 1.070043 | Time: 114.21s | LR: 2.535301200456464e-08
 56%|█████▋    | 113/200 [3:42:39<2:49:10, 116.68s/it]Epoch: 113/200 | Total Loss: 0.011755 | Entropy Loss: 1.070039 | Time: 116.47s | LR: 2.0282409603651712e-08
 57%|█████▋    | 114/200 [3:44:36<2:47:14, 116.69s/it]Epoch: 114/200 | Total Loss: 0.011755 | Entropy Loss: 1.070032 | Time: 116.71s | LR: 2.0282409603651712e-08
 57%|█████▊    | 115/200 [3:46:33<2:45:38, 116.92s/it]Epoch: 115/200 | Total Loss: 0.011752 | Entropy Loss: 1.070034 | Time: 117.46s | LR: 2.0282409603651712e-08
 58%|█████▊    | 116/200 [3:48:29<2:43:01, 116.45s/it]Epoch: 116/200 | Total Loss: 0.011750 | Entropy Loss: 1.070042 | Time: 115.34s | LR: 2.0282409603651712e-08
 58%|█████▊    | 117/200 [3:50:26<2:41:19, 116.62s/it]Epoch: 117/200 | Total Loss: 0.011748 | Entropy Loss: 1.070043 | Time: 117.03s | LR: 2.0282409603651712e-08
